Street Number,Street Name,Zip,Total GHG Emissions (MtCO2e),Primary Property Type - Self Selected,System Size (kW-DC),"Total System Cost, Before Incentives",Cost After All Incentives and Taxes,Break Even Point,Energy Production (kWh/yr),Savings Per Year,CO2 Emissions Reductions (lbs/yr),Trees Planted Equivalent
75,POPLAR STREET,11201,405.24,Multifamily Housing,54.82,328920,70061,6,63052,13241,43412,116
89,PORTER AVENUE,11237,750.04,Residence Hall/Dormitory,86.54,497605,126992,7,103771,21792,71447,191
402,PRESIDENT STREET,11231,50.87,Multifamily Housing,82.41,473858,118977,7,93777,19693,64566,172
530,PRESIDENT STREET,11215,180.25,Other,246.75,1357125,417080,8,292862,61501,201637,538
990,PRESIDENT STREET,11225,277.49,Multifamily Housing,45.23,271380,54547,6,52022,10925,35817,96
1000,PRESIDENT STREET,11225,347.2,Multifamily Housing,53.82,322920,68036,6,61244,12861,42166,113
1238,PRESIDENT STREET,11225,1997.63,Multifamily Housing,162.66,935295,274712,8,189077,39706,130180,347
1745,PRESIDENT STREET,11213,331.85,Multifamily Housing,43.4,260400,52340,6,52041,10929,35831,96
14,PRINCE STREET,11201,1029.58,Entertainment/Culture,29.36,190840,40363,7,31613,6639,21766,58
263,PROSPECT AVENUE,11215,307.48,Social/Meeting,112.01,644058,176420,7,132942,27918,91531,244
1,PROSPECT PARK SW,11215,292.46,Multifamily Housing,60.03,360180,80611,6,69779,14654,48043,128
135,PROSPECT PARK SW,11218,281.04,Multifamily Housing,103.16,593170,159245,7,121176,25447,83430,223
180,PROSPECT PARK SW,11218,245.72,Multifamily Housing,42.97,257820,51822,6,50474,10600,34752,93
1,PROSPECT PARK WEST,11215,980.24,Senior Care Facility,48.66,291960,58684,6,55372,11628,38124,102
9,PROSPECT PARK WEST,11215,712.83,Multifamily Housing,14.21,99470,21933,7,16344,3432,11253,30
40,PROSPECT PARK WEST,11215,438.04,Multifamily Housing,51.75,310500,63844,6,60154,12632,41417,111
44,PROSPECT PARK WEST,11215,78.33,Multifamily Housing,44.69,268140,53896,6,52495,11024,36143,96
520,PROSPECT PLACE,11238,1705.95,Senior Care Facility,151.38,870435,252822,8,177817,37342,122428,327
545,PROSPECT PLACE,11238,943.39,Multifamily Housing,264.63,1455465,450269,8,297893,60000,205101,547
925,PROSPECT PLACE,11213,440.82,Multifamily Housing,58.3,349800,77108,6,68482,14381,47150,126
1750,PROSPECT PLACE,11233,8.44,Multifamily Housing,36.25,235625,49835,6,42581,8942,29317,78
1785,PROSPECT PLACE,11233,8.44,Multifamily Housing,37.2,241800,51141,6,43697,9176,30085,80
64,PROSPECT STREET,11201,260.39,Warehouse (Unrefrigerated),62.43,374580,85471,7,70277,14758,48386,129
81,PROSPECT STREET,11201,157.96,Warehouse (Unrefrigerated),40.99,245940,49434,6,46644,9795,32115,86
250,PULASKI STREET,11206,391.8,Multifamily Housing,56.49,338940,73442,6,66355,13935,45686,122
300,PUTNAM AVENUE,11216,323.12,Multifamily Housing,37.37,242905,51374,6,43439,9122,29908,80
206,QUENTIN ROAD,11223,216.72,Multifamily Housing,23.77,154505,32678,7,27340,5741,18823,50
254,QUENTIN ROAD,11223,210.79,Office,32.46,210990,44624,6,38129,8007,26252,70
1718,QUENTIN ROAD,11229,325.45,Multifamily Housing,42.88,257280,51713,6,49844,10467,34318,92
1811,QUENTIN ROAD,11229,329.05,Multifamily Housing,51.24,307440,62811,6,60189,12640,41440,111
1925,QUENTIN ROAD,11229,67.26,Multifamily Housing,29.02,188630,39895,7,33023,6935,22736,61
2000,QUENTIN ROAD,11229,285.68,Multifamily Housing,39.01,253565,53629,6,45345,9523,31221,83
15,QUINCY STREET,11238,228.02,Multifamily Housing,18.17,127190,28045,7,21343,4482,14695,39
510,QUINCY STREET,11221,1037.41,Multifamily Housing,240.83,1324565,406091,8,285835,60025,196799,525
625,QUINCY STREET,11221,313.2,Multifamily Housing,63.46,380760,87557,6,77649,16306,53461,143
599,RALPH AVENUE,11233,345.07,Lodging,32.44,210860,44597,6,38105,8002,26236,70
1900,RALPH AVENUE,11236,833.75,Other,410.41,2257255,720874,16,487106,60000,335375,895
2183,RALPH AVENUE,11234,45.05,Retail (Misc),827.87,4553285,1624697,17,962320,120000,662562,1768
152,RANDOLPH STREET,11237,114.19,Warehouse (Unrefrigerated),218.89,1203895,365365,7,262474,55119,180714,482
165,RANDOLPH STREET,11237,224.36,Warehouse (Unrefrigerated),487.48,2681140,871159,19,602437,60000,414781,1107
60,REMSEN STREET,11201,332.35,Multifamily Housing,29.54,192010,40610,7,33615,7059,23144,62
68,REMSEN STREET,11201,443.83,Multifamily Housing,18.71,130970,28879,7,21062,4423,14501,39
172,REMSEN STREET,11201,2761.93,K-12 School,80.51,462933,115290,7,88660,18619,61043,163
80,RICHARDS STREET,11231,472.22,Warehouse (Unrefrigerated),105.83,608523,164427,7,119132,25018,82023,219
6623,RIDGE BOULEVARD,11220,415.75,Multifamily Housing,73.41,440460,107705,7,86230,18108,59370,158
6735,RIDGE BOULEVARD,11220,574.17,Multifamily Housing,70.7,424200,102218,7,83047,17440,57178,153
6802,RIDGE BOULEVARD,11220,288.45,Multifamily Housing,52.44,314640,65241,6,61598,12936,42411,113
7002,RIDGE BOULEVARD,11209,108.96,Multifamily Housing,55.97,335820,72389,6,66429,13950,45737,122
7102,RIDGE BOULEVARD,11209,217.1,Multifamily Housing,32.55,211575,44748,6,38235,8029,26325,70
7401,RIDGE BOULEVARD,11209,211.8,Other,37.46,243490,51498,6,44002,9240,30296,81
7410,RIDGE BOULEVARD,11209,850.89,Multifamily Housing,70.53,423180,101873,7,83710,17579,57635,154
7420,RIDGE BOULEVARD,11209,850.89,Multifamily Housing,71.9,431400,104648,7,85336,17921,58755,157
7423,RIDGE BOULEVARD,11209,338.36,Multifamily Housing,31.09,202085,42741,6,36520,7669,25144,67
7502,RIDGE BOULEVARD,11209,276.72,Multifamily Housing,41.08,246480,49542,6,48757,10239,33569,90
8301,RIDGE BOULEVARD,11209,240.82,Multifamily Housing,38.06,247390,52323,6,45173,9486,31101,83
8708,RIDGE BOULEVARD,11209,300.03,Multifamily Housing,45.64,273840,55042,6,53611,11258,36911,98
9480,RIDGE BOULEVARD,11209,235.76,Multifamily Housing,51.58,309480,63500,6,61219,12856,42150,112
167,RIVERDALE AVENUE,11212,412.41,Multifamily Housing,41.59,249540,50158,6,48344,10152,33285,89
170,RIVERDALE AVENUE,11212,309.59,Multifamily Housing,97.99,563443,149212,7,117501,24675,80900,216
24,ROCK STREET,11206,2916.69,Office,175.67,1010103,299960,8,202050,42431,139112,371
25,ROCK STREET,11206,1171.01,Warehouse (Refrigerated),274.09,1507495,467830,8,"321,957 ",67611,221669,591
284,ROCKAWAY AVENUE,11233,7103.65,Multifamily Housing,268.06,1474330,456636,8,311594,65435,214534,572
619,ROCKAWAY AVENUE,11212,7103.65,Multifamily Housing,362.87,1995785,632627,8,426242,89511,293470,783
774,ROCKAWAY AVENUE,11212,217.9,Multifamily Housing,1.12,9520,2296,9,1343,282,925,2
1250,ROCKAWAY AVENUE,11236,152.89,Warehouse (Unrefrigerated),739.66,4068130,1429422,8,905036,190058,623122,1663
165,ROCKAWAY PARKWAY,11212,159.86,Multifamily Housing,50.2,301200,60705,6,59581,12512,41022,109
178,ROCKAWAY PARKWAY,11212,889.16,Multifamily Housing,39.27,255255,53986,6,45648,9586,31429,84
181,ROCKAWAY PARKWAY,11212,154.74,Multifamily Housing,44.18,265080,53281,6,51896,10898,35730,95
196,ROCKAWAY PARKWAY,11212,265.25,Multifamily Housing,43.14,258840,52027,6,50674,10642,34889,93
205,ROCKAWAY PARKWAY,11212,361.58,K-12 School,37.06,240890,50948,6,43532,9142,29972,80
214,ROCKAWAY PARKWAY,11212,249.42,Multifamily Housing,40.73,244380,49120,6,47843,10047,32940,88
275,ROCKAWAY PARKWAY,11212,316.35,Multifamily Housing,46.53,279180,56115,6,53517,11239,36847,98
450,ROCKAWAY PARKWAY,11212,477.02,Multifamily Housing,66.31,397860,93328,6,79513,16698,54745,146
1555,ROCKAWAY PARKWAY,11236,1079.87,Senior Care Facility,51.41,308460,63155,6,55985,11757,38546,103
1625,ROCKAWAY PARKWAY,11236,864.79,Multifamily Housing,103.51,595183,159924,7,121587,25533,83713,223
143,ROEBLING STREET,11211,42.46,Other,91.62,526815,136850,7,107621,22600,74097,198
130,ROGERS AVENUE,11216,337.06,Multifamily Housing,48.05,288300,57948,6,58205,12223,40075,107
332,ROGERS AVENUE,11225,397.32,Multifamily Housing,58.47,350820,77452,6,69397,14573,47780,127
400,RUGBY ROAD,11226,308.93,Multifamily Housing,51.49,308940,63317,6,61742,12966,42510,113
646,RUTLAND ROAD,11203,141.57,Multifamily Housing,33.15,215475,45573,6,38534,8092,26531,71
811,RUTLAND ROAD,11203,1767.31,Multifamily Housing,194.96,1121020,337394,8,231393,48593,159315,425
950,RUTLAND ROAD,11212,819.4,Multifamily Housing,132.09,759518,215387,7,158391,33262,109053,291
255,RYERSON STREET,11205,2226.38,K-12 School,171.88,988310,292605,8,193485,40632,133215,355
90,SANDS STREET,11201,2487.96,Residence Hall/Dormitory,28.65,186225,39387,7,32251,6773,22205,59
165,SANDS STREET,11201,550.38,Multifamily Housing,75.9,455400,112748,7,85440,17942,58826,157
401,SCHENECTADY AVENUE,11213,379.83,Multifamily Housing,43.92,263520,52968,6,52128,10947,35890,96
434,SCHENECTADY AVENUE,11203,327.99,Multifamily Housing,107.55,618413,167764,7,127649,26806,87887,235
455,SCHENECTADY AVENUE,11203,351.17,Multifamily Housing,110.14,633305,172790,7,130723,27452,90003,240
459,SCHENECTADY AVENUE,11203,447.39,Multifamily Housing,66.56,399360,93834,7,78184,16419,53830,144
585,SCHENECTADY AVENUE,11203,7365.76,Hospital (General Medical and Surgical),119.61,687758,191168,7,141962,29812,97742,261
1487,SCHENECTADY AVENUE,11203,312.89,Warehouse (Unrefrigerated),390.95,2150225,684751,15,473576,60000,326060,870
96,SCHERMERHORN STREET,11201,518.81,Multifamily Housing,23.94,155610,32912,7,26656,5598,18353,49
155,SCHROEDERS AVENUE,11207,82561.06,Multifamily Housing,183.59,1055643,315330,8,206667,43400,142291,380
154,SCOTT AVENUE,11237,49.97,Warehouse (Unrefrigerated),115.73,665448,183639,7,135941,28548,93596,250
166,SEELEY STREET,11218,308.71,Multifamily Housing,35.13,228345,48295,7,40405,8485,27819,74
315,SEIGEL STREET,11206,16.22,Multifamily Housing,99.2,570400,151560,7,117738,24725,81063,216
1075,SHEEPSHEAD BAY ROAD,11229,575.06,Multifamily Housing,96.1,552575,145544,7,115235,24199,79340,212
2955,SHELL ROAD,11224,620.62,Multifamily Housing,89.73,515948,133182,7,105400,22134,72569,194
110,SHORE BOULEVARD,11235,244.53,Multifamily Housing,51.32,307920,62973,6,60283,12659,41505,111
1429,SHORE PARKWAY,11214,1104.88,Multifamily Housing,173.17,995728,295108,8,205531,43162,141509,378
1483,SHORE PARKWAY,11214,1598.15,Multifamily Housing,239.3,1316150,403251,8,284019,59644,195549,522
1608,SHORE PARKWAY,11214,836.25,Retail,1309.06,6545300,2426483,8,1585727,333003,1091781,2913
2775,SHORE PARKWAY,11223,394.18,Multifamily Housing,82.15,472363,118473,7,97502,20475,67131,179
3255,SHORE PARKWAY,11235,341.68,Multifamily Housing,43.83,262980,52859,6,50948,10699,35078,94
3845,SHORE PARKWAY,11235,776.03,Multifamily Housing,118.75,682813,189499,7,139489,29293,96039,256
3939,SHORE PARKWAY,11235,471.39,Entertainment/Culture,341,1875500,592031,13,404725,60000,278655,744
6801,SHORE ROAD,11220,417.52,Multifamily Housing,83.18,478285,120471,7,98724,20732,67972,181
7005,SHORE ROAD,11209,446.94,Multifamily Housing,64.93,389580,90533,6,76269,16017,52512,140
7101,SHORE ROAD,11209,509.73,Multifamily Housing,36.94,240110,50783,7,42035,8827,28941,77
7119,SHORE ROAD,11209,94.2,Multifamily Housing,63.23,379380,87091,6,73499,15435,50604,135
7259,SHORE ROAD,11209,539.24,Multifamily Housing,81.55,468913,117308,7,95792,20116,65953,176
7401,SHORE ROAD,11209,269.37,Multifamily Housing,63.72,382320,88083,6,74848,15718,51533,138
8701,SHORE ROAD,11209,1478.84,Multifamily Housing,175.24,1007630,299125,8,207988,43678,143201,382
8801,SHORE ROAD,11209,854.24,Multifamily Housing,137.69,791718,226255,8,160051,33611,110196,294
8901,SHORE ROAD,11209,774.39,Multifamily Housing,5.09,38175,8715,8,5730,1203,3945,11
9000,SHORE ROAD,11209,2418.36,Multifamily Housing,128.48,738760,208382,7,149346,31363,102825,274
9201,SHORE ROAD,11209,1417.12,Multifamily Housing,212.35,1167925,353225,8,249435,52381,171737,458
9255,SHORE ROAD,11209,474.99,Multifamily Housing,184.45,1060588,316998,8,218919,45973,150727,402
9269,SHORE ROAD,11209,324.83,Multifamily Housing,53.39,320340,67165,6,63367,13307,43629,116
9281,SHORE ROAD,11209,441.86,Multifamily Housing,103.16,593170,159245,7,122438,25712,84299,225
9303,SHORE ROAD,11209,404.28,Multifamily Housing,57.01,342060,74495,6,66966,14063,46107,123
9323,SHORE ROAD,11209,287.44,Multifamily Housing,55.28,331680,70992,6,65611,13778,45173,121
9411,SHORE ROAD,11209,359.77,Multifamily Housing,81.81,470408,117813,7,97098,20391,66853,178
9425,SHORE ROAD,11209,285.74,Multifamily Housing,48.14,288840,58057,6,57136,11999,39339,105
9437,SHORE ROAD,11209,340.98,Multifamily Housing,56.58,339480,73625,6,66461,13957,45759,122
9601,SHORE ROAD,11209,343.4,Multifamily Housing,48.74,292440,58780,6,58445,12273,40239,107
9701,SHORE ROAD,11209,766.34,Multifamily Housing,80.51,462933,115290,7,94570,19860,65112,174
9801,SHORE ROAD,11209,489.72,Multifamily Housing,76.38,458280,113720,7,89719,18841,61772,165
72,SKILLMAN STREET,11205,240.67,Multifamily Housing,45.81,274860,55247,6,52129,10947,35891,96
17,SMITH STREET,11201,815.97,House of Worship,87.5,503125,128855,7,95287,20010,65605,175
32,SMITH STREET,11201,1179.95,Office,25.22,163930,34671,7,27464,5768,18909,50 
628,SMITH STREET,11231,193.69,Other,28.76,186940,39538,6,35190,7390,24229,65
360,SNEDIKER AVENUE,11207,200.05,Multifamily Housing,34.19,222235,47003,6,40161,8434,27651,74
379,SNEDIKER AVENUE,11207,566.19,Multifamily Housing,276.59,1521245,472470,8,321509,60000,221361,591
3400,SNYDER AVENUE,11203,719.89,Multifamily Housing,79.65,477900,120341,7,92586,19443,63746,170
3500,SNYDER AVENUE,11203,600.68,Multifamily Housing,91.11,523883,135861,7,107021,22475,73685,197
5301,SNYDER AVENUE,11203,275.25,Multifamily Housing,77.93,467580,116858,7,94400,19824,64995,173
185,SOUTH 4 STREET,11211,258.2,Multifamily Housing,15.75,110250,24310,7,18308,3845,12605,34
109,SOUTH 5 STREET,11249,220.87,Other,29.01,188565,39881,7,32656,6858,22484,60
102,SOUTH 8 STREET,11249,80.55,Multifamily Housing,5.51,41325,9434,9,5731,1203,3946,11
156,SOUTH 9 STREET,11211,334.95,Multifamily Housing,41.16,246960,49639,6,48852,10259,33635,90
166,SOUTH 9 STREET,11211,254.51,Multifamily Housing,28.33,184145,38947,6,33278,6988,22912,61
173,SOUTH ELLIOTT PLACE,11217,1592.38,Multifamily Housing,89.73,515948,133182,7,105400,22134,72569,194
118,ST EDWARD'S STREET,11205,6024.91,Multifamily Housing,279.52,1537360,477909,8,318075,66796,218996,584
130,ST EDWARD'S STREET,11201,2009.44,Multifamily Housing,64.24,385440,89136,7,72315,15186,49789,133
140,ST EDWARD'S STREET,11201,1251.38,Senior Care Facility,36.51,237315,50192,7,41546,8725,28605,76
21,ST JAMES PLACE,11205,1234.3,Multifamily Housing,74.06,444360,109022,7,88806,18649,61144,163
65,ST JAMES PLACE,11238,646.5,K-12 School,93.89,539868,141255,7,113733,23884,78306,209
295,ST JOHN'S PLACE,11238,403.88,Multifamily Housing,63.55,381300,87739,6,74648,15676,51396,137
315,ST JOHN'S PLACE,11238,305.9,Multifamily Housing,16.79,117530,25915,7,19722,4142,13579,36
500,ST JOHN'S PLACE,11238,613.86,Multifamily Housing,109.1,627325,170772,7,128153,26912,88234,235
555,ST JOHN'S PLACE,11238,289.75,Multifamily Housing,20.24,131560,27825,6,23527,4941,16199,43
1025,ST JOHN'S PLACE,11213,245.4,Multifamily Housing,45.64,273840,55042,6,53052,11141,36527,97
1045,ST JOHN'S PLACE,11213,1303.64,Multifamily Housing,42.45,254700,51195,6,49344,10362,33974,91
1062,ST JOHN'S PLACE,11213,93.65,Warehouse (Unrefrigerated),55.89,335340,72227,6,66335,13930,45672,122
1704,ST JOHN'S PLACE,11233,340.16,Multifamily Housing,35.91,233415,49367,7,39984,8397,27529,73
500,ST MARK'S AVENUE,11238,352.26,Other,264.63,1455465,450269,8,297893,60000,205101,547
720,ST MARK'S AVENUE,11216,133.7,Multifamily Housing,84.07,483403,122199,7,96695,20306,66575,178
769,ST MARK'S AVENUE,11213,836.84,Multifamily Housing,109.45,629338,171452,7,125886,26436,86673,231
770,ST MARK'S AVENUE,11216,195.45,Multifamily Housing,77.59,465540,116170,7,93039,19538,64058,171
780,ST MARK'S AVENUE,11213,341.46,Multifamily Housing,110.05,632788,172616,7,134655,28278,92711,247
800,ST MARK'S AVENUE,11213,668.66,Senior Care Facility,150.87,867503,251832,8,175372,36828,120744,322
805,ST MARK'S AVENUE,11213,1085.35,Multifamily Housing,43.23,259380,52135,6,50251,10553,34598,92
959,ST MARK'S AVENUE,11213,206.23,Multifamily Housing,66.31,397860,93328,7,77890,16357,53628,143
20,ST PAUL'S COURT,11226,337.69,Multifamily Housing,41.16,246960,49639,6,47845,10047,32941,88
66,ST PAUL'S PLACE,11226,253.78,Multifamily Housing,43.83,262980,52859,6,52021,10924,35817,96
464,STANLEY AVENUE,11207,111.97,Self-Storage,314.95,1732225,543676,12,381514,60000,262674,701
845,STANLEY AVENUE,11208,6300.08,Multifamily Housing,427.28,2350040,752189,8,507128,106497,349160,932
556,STATE STREET,11217,489.81,Multifamily Housing,26.69,173485,36692,7,30698,6447,21136,56
560,STATE STREET,11217,254.47,Multifamily Housing,78.19,469140,117385,7,88018,18484,60601,162
475,STERLING PLACE,11238,290.28,Multifamily Housing,48.65,291900,58672,6,57742,12126,39755,106
796,STERLING PLACE,11216,198.68,Multifamily Housing,31.09,202085,42741,6,36139,7589,24882,66
960,STERLING PLACE,11213,154.17,Multifamily Housing,64.84,389040,90351,7,75370,15828,51893,138
1633,STERLING PLACE,11233,323.63,Multifamily Housing,47.02,282120,56706,6,55232,11599,38027,101
307,STERLING STREET,11225,13.34,Multifamily Housing,37.37,242905,51374,6,44354,9314,30538,81
320,STERLING STREET,11225,761.64,Multifamily Housing,70.01,420060,100820,7,82237,17270,56620,151
111,STEUBEN STREET,11205,350.09,Multifamily Housing,27.13,176345,37297,7,31204,6553,21484,57
225,STEUBEN STREET,11205,1516.28,K-12 School,415.36,2284480,730062,8,482816,101391,332421,887
10,STRATFORD ROAD,11218,162.61,Multifamily Housing,27.56,179140,37888,7,31361,6586,21592,58
415,STRATFORD ROAD,11218,479.7,Multifamily Housing,56.4,338400,73260,6,65560,13768,45138,120
470,STRATFORD ROAD,11218,325.04,Multifamily Housing,40.64,243840,49012,6,46743,9816,32183,86
5905,STRICKLAND AVENUE,11234,632.77,Multifamily Housing,249.24,1370820,421702,8,292767,60000,201572,538
5923,STRICKLAND AVENUE,11234,227.57,Medical Office,83.27,478803,120646,7,92718,19471,63837,170
286,SULLIVAN PLACE,11225,439.32,Multifamily Housing,41.59,249540,50158,6,49871,10473,34336,92
378,SUMPTER STREET,11233,1832.04,Multifamily Housing,31.73,206245,43621,6,36883,7745,25394,68
501,SURF AVENUE,11224,4864.52,Multifamily Housing,216.14,1188770,360260,7,261821,54982,180265,481
3601,SURF AVENUE,11224,933.25,Multifamily Housing,45.29,271740,54620,6,53199,11172,36628,98
626,SUTTER AVENUE,11207,627.01,Multifamily Housing,58.81,352860,78140,6,67641,14205,46571,124
213,TAAFFE PLACE,11205,470.37,Multifamily Housing,87.92,505540,129670,7,100047,21010,68883,184
226,TAAFFE PLACE,11205,727.14,Multifamily Housing,123.74,711505,199183,7,145350,30523,100074,267
227,TAAFFE PLACE,11205,755.74,Multifamily Housing,68.29,409740,97337,7,79381,16670,54654,146
101,TECH PLACE,11201,521.24,Residence Hall/Dormitory,11.8,82600,18213,8,12850,2699,8847,24
40,TEHAMA STREET,11218,405.69,Multifamily Housing,41.85,251100,50471,6,49159,10323,33846,90
1,TENNIS COURT,11226,361.98,Multifamily Housing,47.79,286740,57635,6,55551,11666,38247,102
45,TENNIS COURT,11226,463.82,Multifamily Housing,48.31,289860,58262,6,56156,11793,38664,103
465,THATFORD AVENUE,11212,741.69,Multifamily Housing,221.06,1215830,369393,8,259666,54530,178781,477
214,THOMAS S BOYLAND ST,11233,3667.13,Multifamily Housing,360.98,1985390,629119,8,419605,88117,288900,771
95,THROOP AVENUE,11206,349.43,Multifamily Housing,49.51,297060,59709,6,58762,12340,40458,108
383,THROOP AVENUE,11221,334.01,Multifamily Housing,94.98,546135,143371,7,111567,23429,76815,205
29,TIFFANY PLACE,11231,433.53,Multifamily Housing,23.09,150085,31743,7,25992,5458,17896,48
63,TIFFANY PLACE,11231,422.26,Multifamily Housing,15.41,107870,23785,7,17536,3682,12073,32
194,TILLARY STREET,11201,488.55,Lodging,18.51,129570,28570,8,20610,4328,14190,38
78,TROUTMAN STREET,11206,322.68,Multifamily Housing,56.75,340500,73969,6,68744,14436,47331,126
449,TROUTMAN STREET,11237,213.64,Multifamily Housing,71.04,426240,102906,7,85185,17889,58650,156
467,TROUTMAN STREET,11237,114.27,Multifamily Housing,65.1,390600,90878,6,78859,16560,54295,145
751,TROY AVENUE,11203,502.67,Multifamily Housing,58.38,350280,77270,6,67861,14251,46723,125
885,TROY AVENUE,11203,291.13,Multifamily Housing,38.23,248495,52557,6,45374,9529,31240,83
2239,TROY AVENUE,11234,410.05,Multifamily Housing,72.76,436560,106389,7,87247,18322,60070,160
39,TURNER PLACE,11218,370.74,Multifamily Housing,37.77,245505,51924,6,43904,9220,30228,81
60,TURNER PLACE,11218,614.04,Multifamily Housing,70.7,424200,102218,7,82182,17258,56583,151
35,UNDERHILL AVENUE,11238,122.71,Multifamily Housing,28.07,182455,38589,6,32972,6924,22701,61
203,UNDERHILL AVENUE,11238,318.79,Multifamily Housing,27.73,180245,38122,7,31894,6698,21959,59
330,UNION AVENUE,11211,285.22,Multifamily Housing,44,264000,53064,6,51146,10741,35214,94
1752,UNION STREET,11213,260.88,Multifamily Housing,39.61,257465,54454,6,47012,9873,32368,86
1776,UNION STREET,11213,204.27,Multifamily Housing,57.09,342540,74657,6,68457,14376,47133,126
1920,UNION STREET,11233,60.83,Multifamily Housing,43.49,260940,52449,6,52149,10951,35905,96
1933,UNION STREET,11233,86.83,Multifamily Housing,61.14,366840,82859,6,73314,15396,50477,135
53,UTICA AVENUE,11233,257.75,Multifamily Housing,213.01,1171555,354450,7,255423,53639,175860,469
472,VAN BRUNT STREET,11231,56.43,Multifamily Housing,105.66,607545,164096,7,125405,26335,86342,230
480,VAN BRUNT STREET,11231,1266.57,Multifamily Housing,112.98,649635,178302,7,136858,28740,94227,251
1540,VAN SICLEN AVENUE,11239,82561.06,Multifamily Housing,567.3,3120150,1047860,8,666373,139938,458801,1224
99,VANDALIA AVENUE,11239,491.39,Multifamily Housing,35.74,232310,49134,7,41107,8632,28302,76
177,VANDALIA AVENUE,11239,82561.06,Multifamily Housing,161.54,928855,272539,8,181845,38187,125201,334
186,VANDALIA AVENUE,11239,82561.06,Multifamily Housing,171.88,988310,292605,8,187175,39307,128871,344
651,VANDERBILT STREET,11218,221.54,Multifamily Housing,134.33,772398,219734,7,159433,33481,109770,293
41,VARICK AVENUE,11237,63.64,Multifamily Housing,92.91,534233,139354,7,114820,24112,79054,211
1,VERNON AVENUE,11206,305.14,Multifamily Housing,43.23,259380,52135,6,52367,10997,36055,96
1516,VOORHIES AVENUE,11235,426.78,Multifamily Housing,64.58,387480,89825,7,75068,15764,51685,138
2330,VOORHIES AVENUE,11235,494.69,Multifamily Housing,72.25,433500,105356,7,84868,17822,58432,156
3080,VOORHIES AVENUE,11235,829.07,Multifamily Housing,120.73,694198,193342,7,143292,30091,98657,263
44,WALLABOUT STREET,11249,150.25,Self-Storage,197.02,1132865,341392,8,231428,48600,159339,425
157,WALLABOUT STREET,11206,246.98,Multifamily Housing,79.65,477900,120341,7,93560,19648,64417,172
341,WALLABOUT STREET,11206,115.29,Multifamily Housing,11.88,83160,18337,8,13228,2778,9107,24
318,WARREN STREET,11201,370.51,Multifamily Housing,85.51,491683,124993,7,101490,21313,69876,186
18,WARSOFF PLACE,11205,94.07,Other,256.61,1411355,435382,8,310844,60000,214018,571
54,WASHINGTON AVENUE,11205,130.51,K-12 School,92.05,529288,137685,7,105873,22233,72894,194
266,WASHINGTON AVENUE,11205,600.32,Multifamily Housing,86.11,495133,126157,7,103256,21684,71092,190
277,WASHINGTON AVENUE,11205,204.27,Multifamily Housing,36.77,239005,50550,7,42292,8881,29118,78
295,WASHINGTON AVENUE,11205,354.3,Multifamily Housing,29.54,192010,40610,7,33976,7135,23393,62
379,WASHINGTON AVENUE,11238,590.38,Multifamily Housing,86.03,494673,126002,7,100002,21000,68852,184
555,WASHINGTON AVENUE,11238,297.64,Multifamily Housing,21.55,140075,29626,6,25313,5316,17428,47
881,WASHINGTON AVENUE,11225,293.92,Multifamily Housing,71.47,428820,103777,7,85701,17997,59005,157
921,WASHINGTON AVENUE,11225,381.76,Multifamily Housing,60.28,361680,81117,6,70070,14715,48243,129
941,WASHINGTON AVENUE,11225,349.06,Multifamily Housing,68.67,412020,98107,7,81503,17116,56115,150
1015,WASHINGTON AVENUE,11225,504.7,Multifamily Housing,85.77,493178,125498,7,101798,21378,70089,187
1035,WASHINGTON AVENUE,11225,636.31,Multifamily Housing,96.27,553553,145874,7,114261,23995,78669,210
1125,WASHINGTON AVENUE,11225,613.47,Office,112.12,644690,176633,7,133073,27945,91621,244
25,WASHINGTON STREET,11201,544.83,Multifamily Housing,41.51,249060,50061,6,"43,172 ",9066,29724,79
26,WASHINGTON STREET,11201,109.03,Office,8.53,63975,14605,9,8663,1819,5964,16
39,WASHINGTON STREET,11201,1195.55,Office,147.94,850655,246146,8,166536,34972,114661,306
65,WASHINGTON STREET,11201,828.11,Multifamily Housing,5.8,43500,9931,9,6245,1311,4300,11
70,WASHINGTON STREET,11201,1789.57,Multifamily Housing,96.53,555048,146379,7,109845,23067,75629,202
133,WATER STREET,11201,406.98,Multifamily Housing,5.6,42000,9589,8,6509,1367,4482,12
220,WATER STREET,11201,698.61,Multifamily Housing,270.99,1490445,462075,8,315000,60000,216879,579
463,WATKINS STREET,11212,765.22,Multifamily Housing,117.93,678098,187908,7,137082,28787,94382,252
39,WAVERLY AVENUE,11205,789.71,Multifamily Housing,127.88,735310,207217,7,150213,31545,103422,276
22,WEBSTER AVENUE,11230,310.71,Multifamily Housing,33.58,218270,46164,6,39444,8283,27158,72
275,WEBSTER AVENUE,11230,367.08,Multifamily Housing,57.87,347220,76237,6,67976,14275,46802,125
345,WEBSTER AVENUE,11230,811.82,Multifamily Housing,91.62,526815,136850,7,106499,22365,73325,196
1599,WEST 10 STREET,11204,334.13,Multifamily Housing,46.89,281340,56549,6,53931,11326,37132,99
1650,WEST 10 STREET,11223,306.08,Multifamily Housing,28.16,183040,38713,6,32733,6874,22537,60
1684,WEST 10 STREET,11223,370.35,Multifamily Housing,36.51,237315,50192,6,42886,9006,29527,79
1514,WEST 11 STREET,11204,238.47,Multifamily Housing,23.16,150540,31839,6,26921,5653,18535,49
